kota,waktu,suhu_c,kelembapan_persen,presipitasi_mm
Balige,2026-09-17T00:00,22.5,81,0.0
Balige,2026-09-17T01:00,22.2,85,0.0
Balige,2026-09-17T02:00,21.8,83,0.0
Balige,2026-09-17T03:00,21.5,85,0.0
Balige,2026-09-17T04:00,21.3,86,0.1
Balige,2026-09-17T05:00,20.9,94,0.1
Balige,2026-09-17T06:00,20.8,94,0.2
Balige,2026-09-17T07:00,21.2,93,0.6
Balige,2026-09-17T08:00,22.0,89,0.2
Balige,2026-09-17T09:00,22.6,84,0.2
Balige,2026-09-17T10:00,23.9,75,0.0
Balige,2026-09-17T11:00,25.1,69,0.0
Balige,2026-09-17T12:00,25.4,66,0.0
Balige,2026-09-17T13:00,25.9,63,0.0
Balige,2026-09-17T14:00,25.4,68,0.2
Balige,2026-09-17T15:00,24.8,73,0.7
Balige,2026-09-17T16:00,24.6,71,0.3
Balige,2026-09-17T17:00,24.7,68,0.0
Balige,2026-09-17T18:00,24.0,72,0.1
Balige,2026-09-17T19:00,23.4,75,0.0
Balige,2026-09-17T20:00,23.1,76,0.1
Balige,2026-09-17T21:00,22.6,82,0.1
Balige,2026-09-17T22:00,22.4,81,0.1
Balige,2026-09-17T23:00,22.2,83,0.0
Balige,2026-09-18T00:00,21.7,85,0.0
Balige,2026-09-18T01:00,21.5,84,0.0
Balige,2026-09-18T02:00,21.1,87,0.0
Balige,2026-09-18T03:00,20.9,91,0.0
Balige,2026-09-18T04:00,20.9,93,0.0
Balige,2026-09-18T05:00,20.9,87,0.0
Balige,2026-09-18T06:00,20.8,86,0.0
Balige,2026-09-18T07:00,21.7,85,0.0
Balige,2026-09-18T08:00,22.6,80,0.0
Balige,2026-09-18T09:00,24.0,73,0.0
Balige,2026-09-18T10:00,25.2,69,0.0
Balige,2026-09-18T11:00,26.2,65,0.0
Balige,2026-09-18T12:00,27.0,62,0.0
Balige,2026-09-18T13:00,27.1,61,0.2
Balige,2026-09-18T14:00,26.8,64,0.1
Balige,2026-09-18T15:00,26.2,66,0.1
Balige,2026-09-18T16:00,25.9,69,0.1
Balige,2026-09-18T17:00,23.2,86,4.7
Balige,2026-09-18T18:00,23.0,87,1.4
Balige,2026-09-18T19:00,22.6,87,0.2
Balige,2026-09-18T20:00,22.6,84,0.3
Balige,2026-09-18T21:00,22.8,83,0.2
Balige,2026-09-18T22:00,22.8,82,0.0
Balige,2026-09-18T23:00,22.4,85,0.0
Balige,2026-09-19T00:00,22.4,84,0.0
Balige,2026-09-19T01:00,21.7,89,0.5
Balige,2026-09-19T02:00,21.5,91,0.5
Balige,2026-09-19T03:00,21.5,91,0.1
Balige,2026-09-19T04:00,20.9,94,0.0
Balige,2026-09-19T05:00,20.7,97,0.0
Balige,2026-09-19T06:00,20.6,98,0.0
Balige,2026-09-19T07:00,21.2,95,0.0
Balige,2026-09-19T08:00,21.9,89,0.0
Balige,2026-09-19T09:00,23.1,82,0.0
